id	type	address	number	postal_code	municipality	province	location	public	available	hours	latitude	longitude
13419	Appareil fixe-Vast apparaat	Avenue Reine Astrid  4650 Herve	NA	4650	Herve	Liège	A côté de l entrée de la salle des professeurs, dans le bâtiment A.	Oui-Ja	Non-Nee	Heures d ouverture de l école: 8h-17h du lundi au vendredi sauf le mercredi : 8h-13h	50.6438754	5.7972045
13445	Appareil fixe-Vast apparaat	Avenue Reine Astrid  9 4650 Herve	9	4650	Herve	Liège	Entrée du hall des sports	Oui-Ja	Non-Nee	Du lundi au vendredi de 8h25 à 16h25 sauf le mercredi de 8h25 à 12h. Uniquement en période scolaire	50.64465555	5.79825959418886
3992	NA	Avenue Reine Astrid  92 1310 La hulpe	92	1310	La hulpe	Brabant Wallon	5° étage derrière réceptio	NA	NA	NA	50.7290601	4.4664038
9006	NA	Avenue Reine Astrid  92 1310 La hulpe	92	1310	La hulpe	Brabant Wallon	NA	Y	NA	NA	50.7290601	4.4664038
11830	Appareil fixe-Vast apparaat	Avenue Reine Astrid 16 5000 Namur	16	5000	Namur	Namur	Accueil	Oui-Ja	Non-Nee	8h-16h	50.4621812	4.85695483789297
3048	NA	Avenue Reine Astrid 22 5000 Namur	22	5000	Namur	Namur	 hall d entrée	NA	NA	NA	50.46255015	4.85647693670597
1442	NA	Avenue Reine Astrid 5 4650 Herve	5	4650	Herve	Liège	NA	NA	NA	NA	50.6438754	5.7972045
13444	Appareil fixe-Vast apparaat	Avenue Reine Astrid 9 4650 Herve	9	4650	Herve	Liège	Entrée A-1, côté rue ( en face du bureau PMS)	Oui-Ja	Non-Nee	Du lundi au vendredi de 8h25 à 16h25 sauf le mercredi de 8h25 à 12h. Uniquement en période scolaire	50.64465555	5.79825959418886
8457	NA	Avenue Reine Elisabeth  44 4820 Dison	44	4820	Dison	Liège	NA	Y	NA	NA	50.61458005	5.84465009885583
15788	Appareil fixe-Vast apparaat	Avenue Reine Elisabeth 150 5300 Andenne	150	5300	Andenne	Liège	Sas entrée 	Oui-Ja	Non-Nee	NA	50.49163535	5.08793184788192
14811	Appareil fixe-Vast apparaat	avenue Reine Elisabeth 29 5300 Andenne	29	5300	Andenne	Namur	RDC	Oui-Ja	Non-Nee	NA	50.4908855	5.0950825
10235	NA	Avenue Robert Schuman  181 1401 Baulers	181	1401	Baulers	Brabant Wallon	NA	Y	NA	NA	50.62382835	4.33025122962937
12560	Appareil fixe-Vast apparaat	Avenue Robert Schuman 102 102 1400 Nivelles	102	1400	Nivelles	Brabant Wallon	couloir	Non-Nee	Non-Nee	NA	50.6212007	4.325778
6470	NA	Avenue Robert Schuman 42 1401 Nivelles	42	1401	Nivelles	Brabant Wallon	NA	NA	NA	NA	50.6264472	4.3282251
10168	NA	Avenue Robert Verzele 8 7700 Mouscron	8	7700	Mouscron	Hainaut	NA	NA	NA	NA	50.7344075	3.24664
10169	NA	Avenue Robert Verzele 8 7700 Mouscron	8	7700	Mouscron	Hainaut	NA	NA	NA	NA	50.7344075	3.24664
9286	NA	Avenue Rogier  12 4000 Liège	12	4000	Liège	Liège	NA	Y	NA	NA	50.63393185	5.56993871615057
